date,month_number,mrr,arr,customers,churn_rate,revenue,cogs,operating_costs,cash_balance
2024-07-01,1,45000.0,540000.0,120,0.0489,50400.0,14006.93,210000.0,2100000.0
2024-08-01,2,49047.04,588564.51,125,0.0406,54932.69,14085.95,213987.69,1926393.07
2024-09-01,3,52835.18,634022.12,134,0.0352,59175.4,13998.53,216535.9,1753252.12
2024-10-01,4,57746.41,692956.87,146,0.0442,64675.97,15378.42,220307.17,1581893.09
2024-11-01,5,64125.11,769501.3,154,0.0308,71820.12,16512.6,225457.25,1410883.47
2024-12-01,6,68954.81,827457.78,166,0.0511,77229.39,17062.92,230714.56,1240733.74
2025-01-01,7,74148.3,889779.63,178,0.0412,83046.1,20379.85,235750.13,1070185.65
2025-02-01,8,82422.09,989065.03,182,0.0399,92312.74,22495.96,239402.95,897101.77
2025-03-01,9,90280.92,1083371.09,193,0.0532,101114.64,24025.78,244484.25,727515.6
2025-04-01,10,96655.71,1159868.48,199,0.0482,108254.39,23907.42,248801.48,560120.21
2025-05-01,11,105436.99,1265243.92,212,0.0382,118089.43,27388.55,256124.76,395665.7
2025-06-01,12,112894.73,1354736.71,221,0.0443,126442.09,33213.87,263034.56,230241.82
2025-07-01,13,120874.74,1450496.82,227,0.043,135379.7,36201.96,269461.7,60435.48
2025-08-01,14,131129.66,1573555.88,236,0.054,146865.22,37650.02,273428.09,-109848.48
2025-09-01,15,136602.27,1639227.28,247,0.0511,152994.55,42161.94,277562.7,-274061.37
2025-10-01,16,142817.9,1713814.81,254,0.0487,159956.05,41438.95,280562.78,-440791.46
2025-11-01,17,152637.24,1831646.87,257,0.0435,170953.71,46994.76,287356.12,-602837.14
2025-12-01,18,161756.3,1941075.64,261,0.0447,181167.06,49096.69,290866.98,-766234.31
